itm_no_item|INVALID ITEM
itm_leather_steppe_cap_b_pl|Steppe 便 帽
itm_leather_steppe_cap_c|Steppe 便 帽
itm_leather_steppe_cap_c_pl|Steppe 便 帽
itm_leather_warrior_cap|皮 革 Warrior 便 帽
itm_leather_warrior_cap_pl|皮 革 Warrior 便 帽
itm_arming_cap|Arming 便 帽
itm_arming_cap_pl|Arming 便 帽
itm_nordic_archer_helmet|Nordic 皮 革 头 盔
itm_nordic_archer_helmet_pl|Nordic 皮 革 头 盔
itm_desert_turban|Desert Turban
itm_desert_turban_pl|Desert Turban
itm_vaegir_fur_cap|便 帽 with Fur
itm_vaegir_fur_cap_pl|便 帽 with Fur
itm_sarranid_warrior_cap|Sarranid Warrior 便 帽
itm_sarranid_warrior_cap_pl|Sarranid Warrior 便 帽
itm_nordic_veteran_archer_helmet|Nordic 皮 革 头 盔
itm_nordic_veteran_archer_helmet_pl|Nordic 皮 革 头 盔
itm_skullcap|Skullcap
itm_skullcap_pl|Skullcap
itm_vaegir_fur_helmet|Vaegir 头 盔
itm_vaegir_fur_helmet_pl|Vaegir 头 盔
itm_mail_coif|Mail Coif
itm_mail_coif_pl|Mail Coif
itm_footman_helmet|Footman's 头 盔
itm_footman_helmet_pl|Footman's 头 盔
itm_sarranid_horseman_helmet|Horseman 头 盔
itm_sarranid_horseman_helmet_pl|Horseman 头 盔
itm_nasal_helmet|Nasal 头 盔
itm_nasal_helmet_pl|Nasal 头 盔
itm_norman_helmet|头 盔 with 便 帽
itm_norman_helmet_pl|头 盔 with 便 帽
itm_nordic_footman_helmet|Nordic Footman 头 盔
itm_nordic_footman_helmet_pl|Nordic Footman 头 盔
itm_segmented_helmet|Segmented 头 盔
itm_segmented_helmet_pl|Segmented 头 盔
itm_khergit_war_helmet|Khergit War 头 盔
itm_khergit_war_helmet_pl|Khergit War 头 盔
itm_vaegir_spiked_helmet|Spiked 便 帽
itm_vaegir_spiked_helmet_pl|Spiked 便 帽
itm_helmet_with_neckguard|头 盔 with Neckguard
itm_helmet_with_neckguard_pl|头 盔 with Neckguard
itm_prussian_cuirassier_helmet_trumpeter|普 鲁 士 式 Cuirassier 头 盔 trumpeter
itm_prussian_cuirassier_helmet_trumpeter_pl|普 鲁 士 式 Cuirassier 头 盔 trumpeter
itm_prussian_cuirassier_helmet|普 鲁 士 式 Cuirassier 头 盔
itm_prussian_cuirassier_helmet_pl|普 鲁 士 式 Cuirassier 头 盔
itm_kettle_hat|Kettle 帽 子
itm_kettle_hat_pl|Kettle 帽 子
itm_sarranid_helmet1|Sarranid Keffiyeh 头 盔
itm_sarranid_helmet1_pl|Sarranid Keffiyeh 头 盔
itm_khergit_cavalry_helmet|Khergit Cavalry 头 盔
itm_khergit_cavalry_helmet_pl|Khergit Cavalry 头 盔
itm_spiked_helmet|Spiked 头 盔
itm_spiked_helmet_pl|Spiked 头 盔
itm_vaegir_lamellar_helmet|头 盔 with Lamellar 近 卫
itm_vaegir_lamellar_helmet_pl|头 盔 with Lamellar 近 卫
itm_nordic_helmet|Nordic 头 盔
itm_nordic_helmet_pl|Nordic 头 盔
itm_nordic_huscarl_helmet|Nordic Huscarl's 头 盔
itm_nordic_huscarl_helmet_pl|Nordic Huscarl's 头 盔
itm_khergit_guard_helmet|Khergit 近 卫 头 盔
itm_khergit_guard_helmet_pl|Khergit 近 卫 头 盔
itm_sarranid_mail_coif|Sarranid Mail Coif
itm_sarranid_mail_coif_pl|Sarranid Mail Coif
itm_vaegir_noble_helmet|Vaegir Nobleman 头 盔
itm_vaegir_noble_helmet_pl|Vaegir Nobleman 头 盔
itm_guard_helmet|近 卫 头 盔
itm_guard_helmet_pl|近 卫 头 盔
itm_vaegir_war_helmet|Vaegir War 头 盔
itm_vaegir_war_helmet_pl|Vaegir War 头 盔
itm_sarranid_veiled_helmet|Sarranid Veiled 头 盔
itm_sarranid_veiled_helmet_pl|Sarranid Veiled 头 盔
itm_nordic_warlord_helmet|Nordic Warlord 头 盔
itm_nordic_warlord_helmet_pl|Nordic Warlord 头 盔
itm_vaegir_mask|Vaegir War Mask
itm_vaegir_mask_pl|Vaegir War Mask
itm_bascinet|Bascinet
itm_bascinet_pl|Bascinet
itm_bascinet_2|Bascinet with Aventail
itm_bascinet_2_pl|Bascinet with Aventail
itm_bascinet_3|Bascinet with Nose 近 卫
itm_bascinet_3_pl|Bascinet with Nose 近 卫
itm_black_helmet|黑 色 头 盔
itm_black_helmet_pl|黑 色 头 盔
itm_full_helm|Full Helm
itm_full_helm_pl|Full Helm
itm_great_helmet|Great 头 盔
itm_great_helmet_pl|Great 头 盔
itm_winged_great_helmet|Winged Great 头 盔
itm_winged_great_helmet_pl|Winged Great 头 盔
itm_wooden_stick|Wooden Stick
itm_wooden_stick_pl|Wooden Stick
itm_cudgel|Cudgel
itm_cudgel_pl|Cudgel
itm_club|短 棍
itm_club_pl|短 棍
itm_spiked_club|Spiked 短 棍
itm_spiked_club_pl|Spiked 短 棍
itm_long_spiked_club|Long Spiked 短 棍
itm_long_spiked_club_pl|Long Spiked 短 棍
itm_club_with_spike_head|Spiked 长 棍
itm_club_with_spike_head_pl|Spiked 长 棍
itm_pickaxe|Pickaxe
itm_pickaxe_pl|Pickaxe
itm_fighting_pick|Fighting Pick
itm_fighting_pick_pl|Fighting Pick
itm_military_pick|Military Pick
itm_military_pick_pl|Military Pick
itm_hammer|Hammer
itm_hammer_pl|Hammer
itm_military_hammer|Military Hammer
itm_military_hammer_pl|Military Hammer
itm_maul|Maul
itm_maul_pl|Maul
itm_bec_de_corbin_a|War Hammer
itm_bec_de_corbin_a_pl|War Hammer
itm_sledgehammer|Sledgehammer
itm_sledgehammer_pl|Sledgehammer
itm_warhammer|Great Hammer
itm_warhammer_pl|Great Hammer
itm_polehammer|Polehammer
itm_polehammer_pl|Polehammer
itm_mace_1|Spiked 短 棍
itm_mace_1_pl|Spiked 短 棍
itm_mace_2|Knobbed 钝 锤
itm_mace_2_pl|Knobbed 钝 锤
itm_sarranid_mace_1|铁 矿 钝 锤
itm_sarranid_mace_1_pl|铁 矿 钝 锤
itm_mace_3|Spiked 钝 锤
itm_mace_3_pl|Spiked 钝 锤
itm_mace_4|Winged 钝 锤
itm_mace_4_pl|Winged 钝 锤
itm_winged_mace|Flanged 钝 锤
itm_winged_mace_pl|Flanged 钝 锤
itm_long_hafted_knobbed_mace|Long Hafted Knobbed 钝 锤
itm_long_hafted_knobbed_mace_pl|Long Hafted Knobbed 钝 锤
itm_long_hafted_spiked_mace|Long Hafted Spiked 钝 锤
itm_long_hafted_spiked_mace_pl|Long Hafted Spiked 钝 锤
itm_spiked_mace|Spiked 钝 锤
itm_spiked_mace_pl|Spiked 钝 锤
itm_sarranid_two_handed_mace_1|铁 矿 钝 锤
itm_sarranid_two_handed_mace_1_pl|铁 矿 钝 锤
itm_morningstar|Morningstar
itm_morningstar_pl|Morningstar
itm_knife|猎 刀
itm_knife_pl|猎 刀
itm_dagger|匕 首
itm_dagger_pl|匕 首
itm_butchering_knife|Butchering 猎 刀
itm_butchering_knife_pl|Butchering 猎 刀
itm_sword_medieval_b_small|短 剑
itm_sword_medieval_b_small_pl|短 剑
itm_sword_medieval_c_small|Short Arming 军 剑
itm_sword_medieval_c_small_pl|Short Arming 军 剑
itm_sword_medieval_a|军 剑
itm_sword_medieval_a_pl|军 剑
itm_sword_viking_1|Nordic 军 剑
itm_sword_viking_1_pl|Nordic 军 剑
itm_sword_viking_2_small|Nordic 短 剑
itm_sword_viking_2_small_pl|Nordic 短 剑
itm_sword_medieval_b|军 剑
itm_sword_medieval_b_pl|军 剑
itm_sword_viking_2|Nordic 军 剑
itm_sword_viking_2_pl|Nordic 军 剑
itm_sword_viking_3_small|Nordic Short War 军 剑
itm_sword_viking_3_small_pl|Nordic Short War 军 剑
itm_sword_medieval_c|Arming 军 剑
itm_sword_medieval_c_pl|Arming 军 剑
itm_sword_medieval_c_long|Arming 军 剑
itm_sword_medieval_c_long_pl|Arming 军 剑
itm_sword_viking_3|Nordic War 军 剑
itm_sword_viking_3_pl|Nordic War 军 剑
itm_falchion|Falchion
itm_falchion_pl|Falchion
itm_sword_medieval_d_long|Long Arming 军 剑
itm_sword_medieval_d_long_pl|Long Arming 军 剑
itm_arabian_sword_a|Sarranid 军 剑
itm_arabian_sword_a_pl|Sarranid 军 剑
itm_arabian_sword_b|Sarranid Arming 军 剑
itm_arabian_sword_b_pl|Sarranid Arming 军 剑
itm_drumstick_right|Drumstick
itm_drumstick_right_pl|Drumstick
itm_sword_khergit_1|Nomad 马 刀
itm_sword_khergit_1_pl|Nomad 马 刀
itm_scimitar|Scimitar
itm_scimitar_pl|Scimitar
itm_sword_khergit_2|马 刀
itm_sword_khergit_2_pl|马 刀
itm_arabian_sword_d|Sarranid 近 卫 军 剑
itm_arabian_sword_d_pl|Sarranid 近 卫 军 剑
itm_sword_khergit_3|马 刀
itm_sword_khergit_3_pl|马 刀
itm_scimitar_b|精 锐 Scimitar
itm_scimitar_b_pl|精 锐 Scimitar
itm_sword_khergit_4|重 型 马 刀
itm_sword_khergit_4_pl|重 型 马 刀
itm_khergit_sword_two_handed_a|Two Handed 马 刀
itm_khergit_sword_two_handed_a_pl|Two Handed 马 刀
itm_khergit_sword_two_handed_b|Two Handed 马 刀
itm_khergit_sword_two_handed_b_pl|Two Handed 马 刀
itm_cleaver|Cleaver
itm_cleaver_pl|Cleaver
itm_military_cleaver_b|Soldier's Cleaver
itm_military_cleaver_b_pl|Soldier's Cleaver
itm_military_cleaver_c|Military Cleaver
itm_military_cleaver_c_pl|Military Cleaver
itm_two_handed_cleaver|War Cleaver
itm_two_handed_cleaver_pl|War Cleaver
itm_bastard_sword_a|Bastard 军 剑
itm_bastard_sword_a_pl|Bastard 军 剑
itm_bastard_sword_b|重 型 Bastard 军 剑
itm_bastard_sword_b_pl|重 型 Bastard 军 剑
itm_great_sword|Great 军 剑
itm_great_sword_pl|Great 军 剑
itm_sword_of_war|军 剑 of War
itm_sword_of_war_pl|军 剑 of War
itm_sword_two_handed_b|Two Handed 军 剑
itm_sword_two_handed_b_pl|Two Handed 军 剑
itm_sword_two_handed_a|Great 军 剑
itm_sword_two_handed_a_pl|Great 军 剑
itm_hatchet|Hatchet
itm_hatchet_pl|Hatchet
itm_hand_axe|Hand 斧
itm_hand_axe_pl|Hand 斧
itm_fighting_axe|Fighting 斧
itm_fighting_axe_pl|Fighting 斧
itm_one_handed_war_axe_a|One Handed 斧
itm_one_handed_war_axe_a_pl|One Handed 斧
itm_one_handed_battle_axe_a|One Handed Battle 斧
itm_one_handed_battle_axe_a_pl|One Handed Battle 斧
itm_one_handed_war_axe_b|One Handed War 斧
itm_one_handed_war_axe_b_pl|One Handed War 斧
itm_sarranid_axe_a|铁 矿 Battle 斧
itm_sarranid_axe_a_pl|铁 矿 Battle 斧
itm_one_handed_battle_axe_b|One Handed Battle 斧
itm_one_handed_battle_axe_b_pl|One Handed Battle 斧
itm_one_handed_battle_axe_c|One Handed Battle 斧
itm_one_handed_battle_axe_c_pl|One Handed Battle 斧
itm_sarranid_axe_b|铁 矿 War 斧
itm_sarranid_axe_b_pl|铁 矿 War 斧
itm_sapper_axe_sappeur|Sapper 斧
itm_sapper_axe_sappeur_pl|Sapper 斧
itm_shovel_a|Shovel
itm_shovel_a_pl|Shovel
itm_shovel_b|Shovel
itm_shovel_b_pl|Shovel
itm_war_axe|War 斧
itm_war_axe_pl|War 斧
itm_two_handed_battle_axe_2|Two Handed War 斧
itm_two_handed_battle_axe_2_pl|Two Handed War 斧
itm_sarranid_two_handed_axe_b|Sarranid War 斧
itm_sarranid_two_handed_axe_b_pl|Sarranid War 斧
itm_great_axe|Great 斧
itm_great_axe_pl|Great 斧
itm_sarranid_two_handed_axe_a|Sarranid Battle 斧
itm_sarranid_two_handed_axe_a_pl|Sarranid Battle 斧
itm_poleaxe|Poleaxe
itm_poleaxe_pl|Poleaxe
itm_long_axe|Long 斧
itm_long_axe_pl|Long 斧
itm_long_axe_alt|Long 斧
itm_long_axe_alt_pl|Long 斧
itm_long_axe_b|Long War 斧
itm_long_axe_b_pl|Long War 斧
itm_long_axe_b_alt|Long War 斧
itm_long_axe_b_alt_pl|Long War 斧
itm_long_axe_c|Great Long 斧
itm_long_axe_c_pl|Great Long 斧
itm_long_axe_c_alt|Great Long 斧
itm_long_axe_c_alt_pl|Great Long 斧
itm_bardiche|Bardiche
itm_bardiche_pl|Bardiche
itm_long_bardiche|Long Bardiche
itm_long_bardiche_pl|Long Bardiche
itm_great_bardiche|Great Bardiche
itm_great_bardiche_pl|Great Bardiche
itm_great_long_bardiche|Great Long Bardiche
itm_great_long_bardiche_pl|Great Long Bardiche
itm_voulge|Voulge
itm_voulge_pl|Voulge
itm_long_voulge|Long Voulge
itm_long_voulge_pl|Long Voulge
itm_shortened_voulge|Shortened Voulge
itm_shortened_voulge_pl|Shortened Voulge
itm_sickle|Sickle
itm_sickle_pl|Sickle
itm_military_sickle_a|Military Sickle
itm_military_sickle_a_pl|Military Sickle
itm_scythe|Scythe
itm_scythe_pl|Scythe
itm_military_scythe|Military Scythe
itm_military_scythe_pl|Military Scythe
itm_shortened_military_scythe|Shortened Military Scythe
itm_shortened_military_scythe_pl|Shortened Military Scythe
itm_pitch_fork|Pitch Fork
itm_pitch_fork_pl|Pitch Fork
itm_military_fork|Military Fork
itm_military_fork_pl|Military Fork
itm_battle_fork|Battle Fork
itm_battle_fork_pl|Battle Fork
itm_staff|长 棍
itm_staff_pl|长 棍
itm_quarter_staff|Quarter 长 棍
itm_quarter_staff_pl|Quarter 长 棍
itm_iron_staff|铁 矿 长 棍
itm_iron_staff_pl|铁 矿 长 棍
itm_hafted_blade_b|Hafted Blade
itm_hafted_blade_b_pl|Hafted Blade
itm_hafted_blade_a|Hafted Blade
itm_hafted_blade_a_pl|Hafted Blade
itm_bamboo_spear|Bamboo 长 矛
itm_bamboo_spear_pl|Bamboo 长 矛
itm_shortened_spear|Shortened 长 矛
itm_shortened_spear_pl|Shortened 长 矛
itm_spear|长 矛
itm_spear_pl|长 矛
itm_war_spear|War 长 矛
itm_war_spear_pl|War 长 矛
itm_boar_spear|Boar 长 矛
itm_boar_spear_pl|Boar 长 矛
itm_glaive|Glaive
itm_glaive_pl|Glaive
itm_jousting_lance|Jousting 骑 枪
itm_jousting_lance_pl|Jousting 骑 枪
itm_great_lance|Great 骑 枪
itm_great_lance_pl|Great 骑 枪
itm_double_sided_lance|Double Sided 骑 枪
itm_double_sided_lance_pl|Double Sided 骑 枪
itm_lance|骑 枪
itm_lance_pl|骑 枪
itm_polish_lance|Polish 骑 枪
itm_polish_lance_pl|Polish 骑 枪
itm_austrian_lance|奥 地 利 式 骑 枪
itm_austrian_lance_pl|奥 地 利 式 骑 枪
itm_pike|长 枪
itm_pike_pl|长 枪
itm_ashwood_pike|Ashwood 长 枪
itm_ashwood_pike_pl|Ashwood 长 枪
itm_awlpike_long|Long Awlpike
itm_awlpike_long_pl|Long Awlpike
itm_awlpike|Awlpike
itm_awlpike_pl|Awlpike
itm_wooden_shield|Wooden Shield
itm_wooden_shield_pl|Wooden Shield
itm_nordic_shield|Nordic Shield
itm_nordic_shield_pl|Nordic Shield
itm_fur_covered_shield|Fur Covered Shield
itm_fur_covered_shield_pl|Fur Covered Shield
itm_steel_shield|Steel Shield
itm_steel_shield_pl|Steel Shield
itm_plate_covered_round_shield|Plate Covered Round Shield
itm_plate_covered_round_shield_pl|Plate Covered Round Shield
itm_leather_covered_round_shield|皮 革 Covered Round Shield
itm_leather_covered_round_shield_pl|皮 革 Covered Round Shield
itm_hide_covered_round_shield|Hide Covered Round Shield
itm_hide_covered_round_shield_pl|Hide Covered Round Shield
itm_shield_heater_c|Heater Shield
itm_shield_heater_c_pl|Heater Shield
itm_norman_shield_1|Kite Shield
itm_norman_shield_1_pl|Kite Shield
itm_norman_shield_2|Kite Shield
itm_norman_shield_2_pl|Kite Shield
itm_norman_shield_3|Kite Shield
itm_norman_shield_3_pl|Kite Shield
itm_norman_shield_4|Kite Shield
itm_norman_shield_4_pl|Kite Shield
itm_norman_shield_5|Kite Shield
itm_norman_shield_5_pl|Kite Shield
itm_norman_shield_6|Kite Shield
itm_norman_shield_6_pl|Kite Shield
itm_norman_shield_7|Kite Shield
itm_norman_shield_7_pl|Kite Shield
itm_norman_shield_8|Kite Shield
itm_norman_shield_8_pl|Kite Shield
itm_tab_shield_round_a|Old Round Shield
itm_tab_shield_round_a_pl|Old Round Shield
itm_tab_shield_round_b|Plain Round Shield
itm_tab_shield_round_b_pl|Plain Round Shield
itm_tab_shield_round_c|Round Shield
itm_tab_shield_round_c_pl|Round Shield
itm_tab_shield_round_d|重 型 Round Shield
itm_tab_shield_round_d_pl|重 型 Round Shield
itm_tab_shield_round_e|Huscarl's Round Shield
itm_tab_shield_round_e_pl|Huscarl's Round Shield
itm_tab_shield_kite_a|Old Kite Shield
itm_tab_shield_kite_a_pl|Old Kite Shield
itm_tab_shield_kite_b|Plain Kite Shield
itm_tab_shield_kite_b_pl|Plain Kite Shield
itm_tab_shield_kite_c|Kite Shield
itm_tab_shield_kite_c_pl|Kite Shield
itm_tab_shield_kite_d|重 型 Kite Shield
itm_tab_shield_kite_d_pl|重 型 Kite Shield
itm_tab_shield_kite_cav_a|Horseman's Kite Shield
itm_tab_shield_kite_cav_a_pl|Horseman's Kite Shield
itm_tab_shield_kite_cav_b|Knightly Kite Shield
itm_tab_shield_kite_cav_b_pl|Knightly Kite Shield
itm_tab_shield_heater_a|Old Heater Shield
itm_tab_shield_heater_a_pl|Old Heater Shield
itm_tab_shield_heater_b|Plain Heater Shield
itm_tab_shield_heater_b_pl|Plain Heater Shield
itm_tab_shield_heater_c|Heater Shield
itm_tab_shield_heater_c_pl|Heater Shield
itm_tab_shield_heater_d|重 型 Heater Shield
itm_tab_shield_heater_d_pl|重 型 Heater Shield
itm_tab_shield_heater_cav_a|Horseman's Heater Shield
itm_tab_shield_heater_cav_a_pl|Horseman's Heater Shield
itm_tab_shield_heater_cav_b|Knightly Heater Shield
itm_tab_shield_heater_cav_b_pl|Knightly Heater Shield
itm_tab_shield_pavise_a|Old Pavise
itm_tab_shield_pavise_a_pl|Old Pavise
itm_tab_shield_pavise_b|Plain Pavise
itm_tab_shield_pavise_b_pl|Plain Pavise
itm_tab_shield_pavise_c|Pavise
itm_tab_shield_pavise_c_pl|Pavise
itm_tab_shield_pavise_d|重 型 Pavise
itm_tab_shield_pavise_d_pl|重 型 Pavise
itm_pavise|Cavarly Spikes
itm_pavise_pl|Cavarly Spikes
itm_tab_shield_small_round_a|Plain Cavalry Shield
itm_tab_shield_small_round_a_pl|Plain Cavalry Shield
itm_tab_shield_small_round_b|Round Cavalry Shield
itm_tab_shield_small_round_b_pl|Round Cavalry Shield
itm_tab_shield_small_round_c|精 锐 Cavalry Shield
itm_tab_shield_small_round_c_pl|精 锐 Cavalry Shield
itm_stones|Stones
itm_stones_pl|Stones
itm_darts|Darts
itm_darts_pl|Darts
itm_war_darts|War Darts
itm_war_darts_pl|War Darts
itm_throwing_knives|Throwing Knives
itm_throwing_knives_pl|Throwing Knives
itm_grenades|Grenades
itm_grenades_pl|Grenades
itm_javelin|Javelins
itm_javelin_pl|Javelins
itm_javelin_melee|Javelin
itm_javelin_melee_pl|Javelin
itm_throwing_spears|Throwing Spears
itm_throwing_spears_pl|Throwing Spears
itm_throwing_spear_melee|Throwing 长 矛
itm_throwing_spear_melee_pl|Throwing 长 矛
itm_jarid|Jarids
itm_jarid_pl|Jarids
itm_jarid_melee|Jarid
itm_jarid_melee_pl|Jarid
itm_light_throwing_axes|轻 型 Throwing Axes
itm_light_throwing_axes_pl|轻 型 Throwing Axes
itm_light_throwing_axes_melee|轻 型 Throwing 斧
itm_light_throwing_axes_melee_pl|轻 型 Throwing 斧
itm_throwing_axes|Throwing Axes
itm_throwing_axes_pl|Throwing Axes
itm_throwing_axes_melee|Throwing 斧
itm_throwing_axes_melee_pl|Throwing 斧
itm_heavy_throwing_axes|重 型 Throwing Axes
itm_heavy_throwing_axes_pl|重 型 Throwing Axes
itm_heavy_throwing_axes_melee|重 型 Throwing 斧
itm_heavy_throwing_axes_melee_pl|重 型 Throwing 斧
itm_hunting_bow|Hunting Bow
itm_hunting_bow_pl|Hunting Bow
itm_short_bow|Short Bow
itm_short_bow_pl|Short Bow
itm_nomad_bow|Nomad Bow
itm_nomad_bow_pl|Nomad Bow
itm_long_bow|Long Bow
itm_long_bow_pl|Long Bow
itm_khergit_bow|Khergit Bow
itm_khergit_bow_pl|Khergit Bow
itm_strong_bow|Strong Bow
itm_strong_bow_pl|Strong Bow
itm_war_bow|War Bow
itm_war_bow_pl|War Bow
itm_hunting_crossbow|Hunting Crossbow
itm_hunting_crossbow_pl|Hunting Crossbow
itm_light_crossbow|轻 型 Crossbow
itm_light_crossbow_pl|轻 型 Crossbow
itm_crossbow|Crossbow
itm_crossbow_pl|Crossbow
itm_heavy_crossbow|重 型 Crossbow
itm_heavy_crossbow_pl|重 型 Crossbow
itm_sniper_crossbow|Siege Crossbow
itm_sniper_crossbow_pl|Siege Crossbow
itm_flintlock_pistol|Flintlock 手 枪
itm_flintlock_pistol_pl|Flintlock 手 枪
itm_torch|Torch
itm_torch_pl|Torch
itm_lyre|Lyre
itm_lyre_pl|Lyre
itm_lute|Lute
itm_lute_pl|Lute
itm_strange_armor|Strange 护 甲
itm_strange_armor_pl|Strange 护 甲
itm_strange_boots|Strange 军 靴
itm_strange_boots_pl|Strange 军 靴
itm_strange_helmet|Strange 头 盔
itm_strange_helmet_pl|Strange 头 盔
itm_strange_sword|Strange 军 剑
itm_strange_sword_pl|Strange 军 剑
itm_strange_great_sword|Strange Great 军 剑
itm_strange_great_sword_pl|Strange Great 军 剑
itm_strange_short_sword|Strange 短 剑
itm_strange_short_sword_pl|Strange 短 剑
itm_court_dress|Court 礼 服 裙
itm_court_dress_pl|Court 礼 服 裙
itm_khergit_guard_armor|Khergit 近 卫 护 甲
itm_khergit_guard_armor_pl|Khergit 近 卫 护 甲
itm_felt_steppe_cap|Felt Steppe 便 帽
itm_felt_steppe_cap_pl|Felt Steppe 便 帽
itm_khergit_helmet|Khergit 头 盔
itm_khergit_helmet_pl|Khergit 头 盔
itm_khergit_guard_boots|Khergit 近 卫 军 靴
itm_khergit_guard_boots_pl|Khergit 近 卫 军 靴
itm_mail_and_plate|Mail and Plate
itm_mail_and_plate_pl|Mail and Plate
itm_light_mail_and_plate|轻 型 Mail and Plate
itm_light_mail_and_plate_pl|轻 型 Mail and Plate
itm_byzantion_helmet_a|Byzantion 头 盔
itm_byzantion_helmet_a_pl|Byzantion 头 盔
itm_magyar_helmet_a|Magyar 头 盔
itm_magyar_helmet_a_pl|Magyar 头 盔
itm_rus_helmet_a|Rus 头 盔
itm_rus_helmet_a_pl|Rus 头 盔
itm_sipahi_helmet_a|Sipahi 头 盔
itm_sipahi_helmet_a_pl|Sipahi 头 盔
itm_shahi|Shahi
itm_shahi_pl|Shahi
itm_rabati|Rabati
itm_rabati_pl|Rabati
itm_keys|Ring of Keys
itm_keys_pl|Ring of Keys
itm_bride_dress|Bride 礼 服 裙
itm_bride_dress_pl|Bride 礼 服 裙
itm_bride_crown|Crown of Flowers
itm_bride_crown_pl|Crown of Flowers
itm_bride_shoes|Bride 便 鞋
itm_bride_shoes_pl|Bride 便 鞋
itm_practice_bow_2|Practice Bow
itm_practice_bow_2_pl|Practice Bow
itm_practice_arrows_2|Practice Arrows
itm_practice_arrows_2_pl|Practice Arrows
itm_heraldic_mail_with_surcoat_for_tableau|{!}Heraldic Mail with Surcoat
itm_heraldic_mail_with_surcoat_for_tableau_pl|{!}Heraldic Mail with Surcoat
itm_mail_boots_for_tableau|Mail 军 靴
itm_mail_boots_for_tableau_pl|Mail 军 靴
itm_contable|Constable Uniforme
itm_contable_pl|Constable Uniforme
itm_diplo|Constable Uniforme
itm_diplo_pl|Constable Uniforme
itm_french_45e_body_ranker|法 式 45e ranker
itm_french_45e_body_ranker_pl|法 式 45e ranker
itm_french_84e_body_ranker|法 式 84e ranker
itm_french_84e_body_ranker_pl|法 式 84e ranker
itm_french_winter_uniform|法 式 军 服
itm_french_winter_uniform_pl|法 式 军 服
itm_fr_unif_caval|法 式 Uniforme 4
itm_fr_unif_caval_pl|法 式 Uniforme 4
itm_fr_unif_flagman|法 式 Uniforme 5
itm_fr_unif_flagman_pl|法 式 Uniforme 5
itm_short_land_pattern_musket|Short Land Pattern 燧 发 枪
itm_short_land_pattern_musket_pl|Short Land Pattern 燧 发 枪
itm_carabine_short|Short Hussar 卡 宾 枪
itm_carabine_short_pl|Short Hussar 卡 宾 枪
itm_hussar_carbine|Hussar 卡 宾 枪
itm_hussar_carbine_pl|Hussar 卡 宾 枪
itm_cartridges|纸 包 定 装 弹 药
itm_cartridges_pl|纸 包 定 装 弹 药
itm_hussar_sabre_hungarian|Hussar 马 刀
itm_hussar_sabre_hungarian_pl|Hussar 马 刀
itm_hungarian_sabre|马 刀
itm_hungarian_sabre_pl|马 刀
itm_fr_shako|筒 形 军 帽 法 式
itm_fr_shako_pl|筒 形 军 帽 法 式
itm_flintlock_pistol|Flintlock 手 枪
itm_flintlock_pistol_pl|Flintlock 手 枪
itm_french_inf_shako_45_ranker|法 式 infantry 筒 形 军 帽 45 ranker
itm_french_inf_shako_45_ranker_pl|法 式 infantry 筒 形 军 帽 45 ranker
itm_gaiters|Gaiters
itm_gaiters_pl|Gaiters
itm_french_inf_shako_84_colours|法 式 infantry 筒 形 军 帽 84
itm_french_inf_shako_84_colours_pl|法 式 infantry 筒 形 军 帽 84
itm_french_voltigeur_shako_captain|法 式 Voltigeur 筒 形 军 帽
itm_french_voltigeur_shako_captain_pl|法 式 Voltigeur 筒 形 军 帽
itm_french_drummer_shako|法 式 drummer 筒 形 军 帽
itm_french_drummer_shako_pl|法 式 drummer 筒 形 军 帽
itm_tollas_french_inf_shako_84_officer|法 式 infantry 筒 形 军 帽 84 officer
itm_tollas_french_inf_shako_84_officer_pl|法 式 infantry 筒 形 军 帽 84 officer
itm_charleville_melee|查 尔 维 尔 燧 发 枪 melee
itm_charleville_melee_pl|查 尔 维 尔 燧 发 枪 melee
itm_french_voltigeur_shako_ranker|法 式 Voltigeur 筒 形 军 帽 ranker
itm_french_voltigeur_shako_ranker_pl|法 式 Voltigeur 筒 形 军 帽 ranker
itm_greytoll_cuirassier_helmet_officer|法 式 Cuirassier 头 盔 officer
itm_greytoll_cuirassier_helmet_officer_pl|法 式 Cuirassier 头 盔 officer
itm_redtoll_cuirassier_helmet_ranker|法 式 Cuirassier 头 盔 ranker
itm_redtoll_cuirassier_helmet_ranker_pl|法 式 Cuirassier 头 盔 ranker
itm_bicorne_hat|双 角 帽 帽 子
itm_bicorne_hat_pl|双 角 帽 帽 子
itm_french_voltigeur_officer|法 式 Voltigeur Officer
itm_french_voltigeur_officer_pl|法 式 Voltigeur Officer
itm_riding_boots|riding 军 靴
itm_riding_boots_pl|riding 军 靴
itm_redtollas_french_inf_shako_84_ranker|法 式 infantry 筒 形 军 帽 84 ranker
itm_redtollas_french_inf_shako_84_ranker_pl|法 式 infantry 筒 形 军 帽 84 ranker
itm_bayonet_fighting_charleville|刺 刀 fighting 查 尔 维 尔 燧 发 枪
itm_bayonet_fighting_charleville_pl|刺 刀 fighting 查 尔 维 尔 燧 发 枪
itm_bayonet_fighting_brown_bess|刺 刀 fighting 褐 贝 斯 燧 发 枪
itm_bayonet_fighting_brown_bess_pl|刺 刀 fighting 褐 贝 斯 燧 发 枪
itm_french_hussard_nco_sotet|法 式 Hussard Dolmany
itm_french_hussard_nco_sotet_pl|法 式 Hussard Dolmany
