trp_player|玩 家
trp_male_hero22|Hero
trp_male_hero22_pl|Hero
trp_male_hero23|Hero
trp_male_hero23_pl|Hero
trp_male_hero24|Hero
trp_male_hero24_pl|Hero
trp_male_hero25|Hero
trp_male_hero25_pl|Hero
trp_male_hero26|Hero
trp_male_hero26_pl|Hero
trp_male_hero27|Hero
trp_male_hero27_pl|Hero
trp_male_hero28|Hero
trp_male_hero28_pl|Hero
trp_male_hero29|Hero
trp_male_hero29_pl|Hero
trp_male_hero30|Hero
trp_male_hero30_pl|Hero
trp_male_hero31|Hero
trp_male_hero31_pl|Hero
trp_male_hero32|Hero
trp_male_hero32_pl|Hero
trp_male_hero33|Hero
trp_male_hero33_pl|Hero
trp_male_hero34|Hero
trp_male_hero34_pl|Hero
trp_male_hero35|Hero
trp_male_hero35_pl|Hero
trp_male_hero36|Hero
trp_male_hero36_pl|Hero
trp_male_hero37|Hero
trp_male_hero37_pl|Hero
trp_male_hero38|Hero
trp_male_hero38_pl|Hero
trp_male_hero39|Hero
trp_male_hero39_pl|Hero
trp_male_hero40|Hero
trp_male_hero40_pl|Hero
trp_male_hero41|Hero
trp_male_hero41_pl|Hero
trp_male_hero42|Hero
trp_male_hero42_pl|Hero
trp_male_hero43|Hero
trp_male_hero43_pl|Hero
trp_male_hero44|Hero
trp_male_hero44_pl|Hero
trp_male_hero45|Hero
trp_male_hero45_pl|Hero
trp_male_hero46|Hero
trp_male_hero46_pl|Hero
trp_male_hero47|Hero
trp_male_hero47_pl|Hero
trp_male_hero48|Hero
trp_male_hero48_pl|Hero
trp_male_hero49|Hero
trp_male_hero49_pl|Hero
trp_male_hero50|Hero
trp_male_hero50_pl|Hero
trp_female_hero01|Hero
trp_female_hero01_pl|Hero
trp_female_hero02|Hero
trp_female_hero02_pl|Hero
trp_female_hero03|Hero
trp_female_hero03_pl|Hero
trp_female_hero04|Hero
trp_female_hero04_pl|Hero
trp_female_hero05|Hero
trp_female_hero05_pl|Hero
trp_female_hero06|Hero
trp_female_hero06_pl|Hero
trp_female_hero07|Hero
trp_female_hero07_pl|Hero
trp_female_hero08|Hero
trp_female_hero08_pl|Hero
trp_female_hero09|Hero
trp_female_hero09_pl|Hero
trp_female_hero10|Hero
trp_female_hero10_pl|Hero
trp_female_hero11|Hero
trp_female_hero11_pl|Hero
trp_female_hero12|Hero
trp_female_hero12_pl|Hero
trp_female_hero13|Hero
trp_female_hero13_pl|Hero
trp_female_hero14|Hero
trp_female_hero14_pl|Hero
trp_female_hero15|Hero
trp_female_hero15_pl|Hero
trp_female_hero16|Hero
trp_female_hero16_pl|Hero
trp_female_hero17|Hero
trp_female_hero17_pl|Hero
trp_female_hero18|Hero
trp_female_hero18_pl|Hero
trp_female_hero19|Hero
trp_female_hero19_pl|Hero
trp_female_hero20|Hero
trp_female_hero20_pl|Hero
trp_female_hero21|Hero
trp_female_hero21_pl|Hero
trp_female_hero22|Hero
trp_female_hero22_pl|Hero
trp_female_hero23|Hero
trp_female_hero23_pl|Hero
trp_female_hero24|Hero
trp_female_hero24_pl|Hero
trp_female_hero25|Hero
trp_female_hero25_pl|Hero
trp_female_hero26|Hero
trp_female_hero26_pl|Hero
trp_female_hero27|Hero
trp_female_hero27_pl|Hero
trp_female_hero28|Hero
trp_female_hero28_pl|Hero
trp_female_hero29|Hero
trp_female_hero29_pl|Hero
trp_female_hero30|Hero
trp_female_hero30_pl|Hero
trp_female_hero31|Hero
trp_female_hero31_pl|Hero
trp_female_hero32|Hero
trp_female_hero32_pl|Hero
trp_female_hero33|Hero
trp_female_hero33_pl|Hero
trp_female_hero34|Hero
trp_female_hero34_pl|Hero
trp_female_hero35|Hero
trp_female_hero35_pl|Hero
trp_female_hero36|Hero
trp_female_hero36_pl|Hero
trp_female_hero37|Hero
trp_female_hero37_pl|Hero
trp_female_hero38|Hero
trp_female_hero38_pl|Hero
trp_female_hero39|Hero
trp_female_hero39_pl|Hero
trp_female_hero40|Hero
trp_female_hero40_pl|Hero
trp_female_hero41|Hero
trp_female_hero41_pl|Hero
trp_female_hero42|Hero
trp_female_hero42_pl|Hero
trp_female_hero43|Hero
trp_female_hero43_pl|Hero
trp_female_hero44|Hero
trp_female_hero44_pl|Hero
trp_female_hero45|Hero
trp_female_hero45_pl|Hero
trp_female_hero46|Hero
trp_female_hero46_pl|Hero
trp_female_hero47|Hero
trp_female_hero47_pl|Hero
trp_female_hero48|Hero
trp_female_hero48_pl|Hero
trp_female_hero49|Hero
trp_female_hero49_pl|Hero
trp_female_hero50|Hero
trp_female_hero50_pl|Hero
trp_hero_end|Hero
trp_hero_end_pl|Hero
trp_kingdom_1_lord|皇 帝 波 拿 巴 拿 破 仑 ·波 拿 巴
trp_kingdom_1_lord_pl|皇 帝 波 拿 巴 拿 破 仑 ·波 拿 巴
trp_kingdom_2_lord|Feld Marschal 布 吕 歇 尔 元 帅
trp_kingdom_2_lord_pl|Feld Marschal 布 吕 歇 尔 元 帅
trp_kingdom_3_lord|将 军 Arthur 威 灵 顿 公 爵
trp_kingdom_3_lord_pl|将 军 Arthur 威 灵 顿 公 爵
trp_kingdom_4_lord|William the 奥 兰 治 亲 王
trp_kingdom_4_lord_pl|William the 奥 兰 治 亲 王
trp_kingdom_5_lord|Der Schwartze Herzog
trp_kingdom_5_lord_pl|Der Schwartze Herzog
trp_kingdom_6_lord|Herzog Karl
trp_kingdom_6_lord_pl|Herzog Karl
trp_knight_1_1|内 伊 元 帅
trp_knight_1_1_pl|内 伊 元 帅
trp_knight_1_2|元 帅 Louis
trp_knight_1_2_pl|元 帅 Louis
trp_knight_1_3|Marsal 格 鲁 希 元 帅
trp_knight_1_3_pl|Marsal 格 鲁 希 元 帅
trp_knight_1_4|伯 爵 Clais
trp_knight_1_4_pl|伯 爵 Clais
trp_knight_1_5|伯 爵 Deglan
trp_knight_1_5_pl|伯 爵 Deglan
trp_knight_1_6|伯 爵 Tredian
trp_knight_1_6_pl|伯 爵 Tredian
trp_knight_1_7|伯 爵 Grainwad
trp_knight_1_7_pl|伯 爵 Grainwad
trp_knight_1_8|伯 爵 Ryis
trp_knight_1_8_pl|伯 爵 Ryis
trp_knight_1_9|伯 爵 Plais
trp_knight_1_9_pl|伯 爵 Plais
trp_knight_1_10|伯 爵 Mirchaud
trp_knight_1_10_pl|伯 爵 Mirchaud
trp_knight_1_11|伯 爵 Stamar
trp_knight_1_11_pl|伯 爵 Stamar
trp_knight_1_12|伯 爵 Meltor
trp_knight_1_12_pl|伯 爵 Meltor
trp_knight_1_13|伯 爵 Beranz
trp_knight_1_13_pl|伯 爵 Beranz
trp_knight_1_14|伯 爵 Rafard
trp_knight_1_14_pl|伯 爵 Rafard
trp_knight_1_15|伯 爵 Regas
trp_knight_1_15_pl|伯 爵 Regas
trp_knight_1_16|伯 爵 Devlian
trp_knight_1_16_pl|伯 爵 Devlian
trp_knight_1_17|伯 爵 Rafarch
trp_knight_1_17_pl|伯 爵 Rafarch
trp_knight_1_18|伯 爵 Rochabarth
trp_knight_1_18_pl|伯 爵 Rochabarth
trp_knight_1_19|伯 爵 Despin
trp_knight_1_19_pl|伯 爵 Despin
trp_knight_1_20|将 军 Montewar
trp_knight_1_20_pl|将 军 Montewar
trp_knight_2_1|Herr Oberst Kaminski
trp_knight_2_1_pl|Herr Oberst Kaminski
trp_knight_2_2|Herr 少 校 Meier
trp_knight_2_2_pl|Herr 少 校 Meier
trp_knight_2_3|Herr 少 校 Von Leonardt
trp_knight_2_3_pl|Herr 少 校 Von Leonardt
trp_knight_2_4|Herr Hauptman Klemens
trp_knight_2_4_pl|Herr Hauptman Klemens
trp_knight_2_5|Herr Oberst Von Treptau
trp_knight_2_5_pl|Herr Oberst Von Treptau
trp_knight_2_6|Herr 少 校 Von Kowalka
trp_knight_2_6_pl|Herr 少 校 Von Kowalka
trp_knight_2_7|Herr 少 校 Von Steinwitz
trp_knight_2_7_pl|Herr 少 校 Von Steinwitz
trp_knight_2_8|Herr 将 军 Von Krauseneck
trp_knight_2_8_pl|Herr 将 军 Von Krauseneck
trp_knight_2_9|Herr Generalleutnant Stefan Roder
trp_knight_2_9_pl|Herr Generalleutnant Stefan Roder
trp_knight_2_10|Herr Generalmajo Von Pirch
trp_knight_2_10_pl|Herr Generalmajo Von Pirch
trp_knight_2_11|Herr Oberstleutnant Von Sohr
trp_knight_2_11_pl|Herr Oberstleutnant Von Sohr
trp_knight_2_12|Herr 将 军 Von Holtzendorff
trp_knight_2_12_pl|Herr 将 军 Von Holtzendorff
trp_knight_2_13|Herr Oberstleutnant Von Lutzow
trp_knight_2_13_pl|Herr Oberstleutnant Von Lutzow
trp_knight_2_14|Herr Oberst Von Thumen
trp_knight_2_14_pl|Herr Oberst Von Thumen
trp_knight_2_15|Herr Generalleutnant Freiherr Von Thielemann
trp_knight_2_15_pl|Herr Generalleutnant Freiherr Von Thielemann
trp_knight_2_16|Herr 将 军 Friedrich Ludwig Prinz Von Prussen
trp_knight_2_16_pl|Herr 将 军 Friedrich Ludwig Prinz Von Prussen
trp_knight_2_17|Herr Oberst Von Der Schulenberg
trp_knight_2_17_pl|Herr Oberst Von Der Schulenberg
trp_knight_2_18|Herr Oberst Von Monhaupt
trp_knight_2_18_pl|Herr Oberst Von Monhaupt
trp_knight_2_19|Herr Oberst Von Der Marwitz
trp_knight_2_19_pl|Herr Oberst Von Der Marwitz
trp_knight_2_20|Herr Generalmajor Von Brauser
trp_knight_2_20_pl|Herr Generalmajor Von Brauser
trp_knight_3_1|上 尉 Huge B Montgomerie
trp_knight_3_1_pl|上 尉 Huge B Montgomerie
trp_knight_3_2|上 尉 Thomas Crauford
trp_knight_3_2_pl|上 尉 Thomas Crauford
trp_knight_3_3|Sir Arthur 威 灵 顿 公 爵
trp_knight_3_3_pl|Sir Arthur 威 灵 顿 公 爵
trp_knight_3_4|上 尉 Edward Sumner
trp_knight_3_4_pl|上 尉 Edward Sumner
trp_knight_3_5|上 尉 John Blackman
trp_knight_3_5_pl|上 尉 John Blackman
trp_knight_3_6|少 尉 少 官 Edward Pardoe
trp_knight_3_6_pl|少 尉 少 官 Edward Pardoe
trp_knight_3_7|上 尉 Edward Grose
trp_knight_3_7_pl|上 尉 Edward Grose
trp_knight_3_8|上 尉 Hastings Forbes
trp_knight_3_8_pl|上 尉 Hastings Forbes
trp_knight_3_9|Lt Col Charles Thomas
trp_knight_3_9_pl|Lt Col Charles Thomas
trp_knight_3_10|Lt Col Alexander Gordon
trp_knight_3_10_pl|Lt Col Alexander Gordon
trp_knight_3_11|上 尉 Charles Eeeles
trp_knight_3_11_pl|上 尉 Charles Eeeles
trp_knight_3_12|上 尉 William Curzon
trp_knight_3_12_pl|上 尉 William Curzon
trp_knight_3_13|Lt Col Edward Currie
trp_knight_3_13_pl|Lt Col Edward Currie
trp_knight_3_14|上 尉 Walter Crofton
trp_knight_3_14_pl|上 尉 Walter Crofton
trp_knight_3_15|上 尉 Newton Chambers
trp_knight_3_15_pl|上 尉 Newton Chambers
trp_knight_3_16|上 尉 Nelsons
trp_knight_3_16_pl|上 尉 Nelsons
trp_knight_3_17|少 校 Belleview
trp_knight_3_17_pl|少 校 Belleview
trp_knight_3_18|Lt Col Sir Arthur Ramsey
trp_knight_3_18_pl|Lt Col Sir Arthur Ramsey
trp_knight_3_19|Lt Col Adamson
trp_knight_3_19_pl|Lt Col Adamson
trp_knight_3_20|Lt Col Roberts
trp_knight_3_20_pl|Lt Col Roberts
trp_knight_4_1|上 校 Volconski
trp_knight_4_1_pl|上 校 Volconski
trp_knight_4_2|上 校 Dion
trp_knight_4_2_pl|上 校 Dion
trp_knight_4_3|少 校 Viccard
trp_knight_4_3_pl|少 校 Viccard
trp_knight_4_4|少 校 Farsight
trp_knight_4_4_pl|少 校 Farsight
trp_knight_4_5|上 尉 Smerden
trp_knight_4_5_pl|上 尉 Smerden
trp_knight_4_6|少 校 Herrman
trp_knight_4_6_pl|少 校 Herrman
trp_knight_4_7|少 校 Harald
trp_knight_4_7_pl|少 校 Harald
trp_knight_4_8|上 校 Jan
trp_knight_4_8_pl|上 校 Jan
trp_knight_4_9|上 校 Jason
trp_knight_4_9_pl|上 校 Jason
trp_knight_4_10|上 校 Turegor
trp_knight_4_10_pl|上 校 Turegor
trp_knight_4_11|上 尉 Logarson
trp_knight_4_11_pl|上 尉 Logarson
trp_knight_4_12|上 校 Aeric
trp_knight_4_12_pl|上 校 Aeric
trp_knight_4_13|上 校 Faarn
trp_knight_4_13_pl|上 校 Faarn
trp_knight_4_14|上 尉 Bulba
trp_knight_4_14_pl|上 尉 Bulba
trp_knight_4_15|男 爵 Ray
trp_knight_4_15_pl|男 爵 Ray
trp_knight_4_16|Field Marshall Broushe
trp_knight_4_16_pl|Field Marshall Broushe
trp_knight_4_17|上 校 Hans
trp_knight_4_17_pl|上 校 Hans
trp_knight_4_18|上 尉 Gearth
trp_knight_4_18_pl|上 尉 Gearth
trp_knight_4_19|上 尉 Dicks
trp_knight_4_19_pl|上 尉 Dicks
trp_knight_4_20|少 校 Gerald
trp_knight_4_20_pl|少 校 Gerald
trp_knight_5_1|伯 爵 Matheas
trp_knight_5_1_pl|伯 爵 Matheas
trp_knight_5_2|伯 爵 Gutlans
trp_knight_5_2_pl|伯 爵 Gutlans
trp_knight_5_3|伯 爵 Laruqen
trp_knight_5_3_pl|伯 爵 Laruqen
trp_knight_5_4|伯 爵 Raichs
trp_knight_5_4_pl|伯 爵 Raichs
trp_knight_5_5|伯 爵 Reland
trp_knight_5_5_pl|伯 爵 Reland
trp_knight_5_6|伯 爵 Tarchias
trp_knight_5_6_pl|伯 爵 Tarchias
trp_knight_5_7|伯 爵 Gharmall
trp_knight_5_7_pl|伯 爵 Gharmall
trp_knight_5_8|伯 爵 Talbar
trp_knight_5_8_pl|伯 爵 Talbar
trp_knight_5_9|伯 爵 Rimusk
trp_knight_5_9_pl|伯 爵 Rimusk
trp_knight_5_10|伯 爵 Falsevor
trp_knight_5_10_pl|伯 爵 Falsevor
trp_knight_5_11|伯 爵 Etrosq
trp_knight_5_11_pl|伯 爵 Etrosq
trp_knight_5_12|伯 爵 Kurnias
trp_knight_5_12_pl|伯 爵 Kurnias
trp_knight_5_13|伯 爵 Tellrog
trp_knight_5_13_pl|伯 爵 Tellrog
trp_knight_5_14|伯 爵 Tribidan
trp_knight_5_14_pl|伯 爵 Tribidan
trp_knight_5_15|伯 爵 Gerluchs
trp_knight_5_15_pl|伯 爵 Gerluchs
trp_knight_5_16|伯 爵 Fudreim
trp_knight_5_16_pl|伯 爵 Fudreim
trp_knight_5_17|伯 爵 Nealcha
trp_knight_5_17_pl|伯 爵 Nealcha
trp_knight_5_18|伯 爵 Fraichin
trp_knight_5_18_pl|伯 爵 Fraichin
trp_knight_5_19|伯 爵 Trimbau
trp_knight_5_19_pl|伯 爵 Trimbau
trp_knight_5_20|伯 爵 Reichsin
trp_knight_5_20_pl|伯 爵 Reichsin
trp_knight_6_1|上 校 施 瓦 岑 贝 格 亲 王
trp_knight_6_1_pl|上 校 施 瓦 岑 贝 格 亲 王
trp_knight_6_2|上 校 Adolf Metternich
trp_knight_6_2_pl|上 校 Adolf Metternich
trp_knight_6_3|上 校 Radetzky
trp_knight_6_3_pl|上 校 Radetzky
trp_knight_6_4|上 校 Berzsenyi Daniel
trp_knight_6_4_pl|上 校 Berzsenyi Daniel
trp_knight_6_5|grof Szechenyi Istvan
trp_knight_6_5_pl|grof Szechenyi Istvan
trp_knight_6_6|Simonyi Janos Obester
trp_knight_6_6_pl|Simonyi Janos Obester
trp_knight_6_7|男 爵 Lichtenstein
trp_knight_6_7_pl|男 爵 Lichtenstein
trp_knight_6_8|上 尉 Wesselenyi Eugen
trp_knight_6_8_pl|上 尉 Wesselenyi Eugen
trp_knight_6_9|伯 爵 Samuel
trp_knight_6_9_pl|伯 爵 Samuel
trp_knight_6_10|上 尉 Franz
trp_knight_6_10_pl|上 尉 Franz
trp_knight_6_11|上 校 Friedrich
trp_knight_6_11_pl|上 校 Friedrich
trp_knight_6_12|上 校 Esterhazy Bence
trp_knight_6_12_pl|上 校 Esterhazy Bence
trp_knight_6_13|少 校 Peter
trp_knight_6_13_pl|少 校 Peter
trp_knight_6_14|上 校 Hadik Sigismund
trp_knight_6_14_pl|上 校 Hadik Sigismund
trp_knight_6_15|grof Andrassy Gyula
trp_knight_6_15_pl|grof Andrassy Gyula
trp_knight_6_16|上 尉 Johnas
trp_knight_6_16_pl|上 尉 Johnas
trp_knight_6_17|上 尉 Ulrich
trp_knight_6_17_pl|上 尉 Ulrich
trp_knight_6_18|上 尉 Schneider
trp_knight_6_18_pl|上 尉 Schneider
trp_knight_6_19|上 尉 Hetfield
trp_knight_6_19_pl|上 尉 Hetfield
trp_knight_6_20|上 尉 Hans
trp_knight_6_20_pl|上 尉 Hans
trp_kingdom_1_pretender|Queen Constance
trp_kingdom_1_pretender_pl|Queen Constance
trp_kingdom_2_pretender|亲 王 Hohenstaufen
trp_kingdom_2_pretender_pl|亲 王 Hohenstaufen
trp_kingdom_3_pretender|Nash Rose
trp_kingdom_3_pretender_pl|Nash Rose
trp_kingdom_4_pretender|Oranian Gustav
trp_kingdom_4_pretender_pl|Oranian Gustav
trp_kingdom_5_pretender|国 王 Charles III
trp_kingdom_5_pretender_pl|国 王 Charles III
trp_kingdom_6_pretender|Louis Kossuth the Rebel
trp_kingdom_6_pretender_pl|Louis Kossuth the Rebel
trp_knight_1_1_wife|Error - knight 1 1 wife should not appear in game
trp_knight_1_1_wife_pl|Error - knight 1 1 wife should not appear in game
trp_kingdom_1_lady_1|贵 夫 人 Anna
trp_kingdom_1_lady_1_pl|贵 夫 人 Anna
trp_kingdom_1_lady_2|贵 夫 人 Nelda
trp_kingdom_1_lady_2_pl|贵 夫 人 Nelda
trp_knight_1_lady_3|贵 夫 人 Bela
trp_knight_1_lady_3_pl|贵 夫 人 Bela
trp_knight_1_lady_4|贵 夫 人 Elina
trp_knight_1_lady_4_pl|贵 夫 人 Elina
trp_kingdom_l_lady_5|贵 夫 人 Constanis
trp_kingdom_l_lady_5_pl|贵 夫 人 Constanis
trp_kingdom_1_lady_6|贵 夫 人 Vera
trp_kingdom_1_lady_6_pl|贵 夫 人 Vera
trp_kingdom_1_lady_7|贵 夫 人 Auberina
trp_kingdom_1_lady_7_pl|贵 夫 人 Auberina
trp_kingdom_1_lady_8|贵 夫 人 Tibal
trp_kingdom_1_lady_8_pl|贵 夫 人 Tibal
trp_kingdom_1_lady_9|贵 夫 人 Magar
trp_kingdom_1_lady_9_pl|贵 夫 人 Magar
trp_kingdom_1_lady_10|贵 夫 人 Thedosa
trp_kingdom_1_lady_10_pl|贵 夫 人 Thedosa
trp_kingdom_1_lady_11|贵 夫 人 Melisar
trp_kingdom_1_lady_11_pl|贵 夫 人 Melisar
trp_kingdom_1_lady_12|贵 夫 人 Irena
trp_kingdom_1_lady_12_pl|贵 夫 人 Irena
trp_kingdom_l_lady_13|贵 夫 人 Philenna
trp_kingdom_l_lady_13_pl|贵 夫 人 Philenna
trp_kingdom_1_lady_14|贵 夫 人 Sonadel
trp_kingdom_1_lady_14_pl|贵 夫 人 Sonadel
trp_kingdom_1_lady_15|贵 夫 人 Boadila
trp_kingdom_1_lady_15_pl|贵 夫 人 Boadila
trp_kingdom_1_lady_16|贵 夫 人 Elys
trp_kingdom_1_lady_16_pl|贵 夫 人 Elys
trp_kingdom_1_lady_17|贵 夫 人 Johana
trp_kingdom_1_lady_17_pl|贵 夫 人 Johana
trp_kingdom_1_lady_18|贵 夫 人 Bernatys
trp_kingdom_1_lady_18_pl|贵 夫 人 Bernatys
trp_kingdom_1_lady_19|贵 夫 人 Enricata
trp_kingdom_1_lady_19_pl|贵 夫 人 Enricata
trp_kingdom_1_lady_20|贵 夫 人 Gaeta
trp_kingdom_1_lady_20_pl|贵 夫 人 Gaeta
trp_kingdom_2_lady_1|贵 夫 人 Junitha
trp_kingdom_2_lady_1_pl|贵 夫 人 Junitha
trp_kingdom_2_lady_2|贵 夫 人 Katia
trp_kingdom_2_lady_2_pl|贵 夫 人 Katia
trp_kingdom_2_lady_3|贵 夫 人 Seomis
trp_kingdom_2_lady_3_pl|贵 夫 人 Seomis
trp_kingdom_2_lady_4|贵 夫 人 Drina
trp_kingdom_2_lady_4_pl|贵 夫 人 Drina
trp_kingdom_2_lady_5|贵 夫 人 Nesha
trp_kingdom_2_lady_5_pl|贵 夫 人 Nesha
trp_kingdom_2_lady_6|贵 夫 人 Tabath
trp_kingdom_2_lady_6_pl|贵 夫 人 Tabath
trp_kingdom_2_lady_7|贵 夫 人 Pelaeka
trp_kingdom_2_lady_7_pl|贵 夫 人 Pelaeka
trp_kingdom_2_lady_8|贵 夫 人 Haris
trp_kingdom_2_lady_8_pl|贵 夫 人 Haris
trp_kingdom_2_lady_9|贵 夫 人 Vayen
trp_kingdom_2_lady_9_pl|贵 夫 人 Vayen
trp_kingdom_2_lady_10|贵 夫 人 Joaka
trp_kingdom_2_lady_10_pl|贵 夫 人 Joaka
trp_kingdom_2_lady_11|贵 夫 人 Tejina
trp_kingdom_2_lady_11_pl|贵 夫 人 Tejina
trp_kingdom_2_lady_12|贵 夫 人 Olekseia
trp_kingdom_2_lady_12_pl|贵 夫 人 Olekseia
trp_kingdom_2_lady_13|贵 夫 人 Myntha
trp_kingdom_2_lady_13_pl|贵 夫 人 Myntha
trp_kingdom_2_lady_14|贵 夫 人 Akilina
trp_kingdom_2_lady_14_pl|贵 夫 人 Akilina
trp_kingdom_2_lady_15|贵 夫 人 Sepana
trp_kingdom_2_lady_15_pl|贵 夫 人 Sepana
trp_kingdom_2_lady_16|贵 夫 人 Iarina
trp_kingdom_2_lady_16_pl|贵 夫 人 Iarina
trp_kingdom_2_lady_17|贵 夫 人 Sihavan
trp_kingdom_2_lady_17_pl|贵 夫 人 Sihavan
trp_kingdom_2_lady_18|贵 夫 人 Erenchina
trp_kingdom_2_lady_18_pl|贵 夫 人 Erenchina
trp_kingdom_2_lady_19|贵 夫 人 Tamar
trp_kingdom_2_lady_19_pl|贵 夫 人 Tamar
trp_kingdom_2_lady_20|贵 夫 人 Valka
trp_kingdom_2_lady_20_pl|贵 夫 人 Valka
trp_kingdom_3_lady_1|贵 夫 人 Borge
trp_kingdom_3_lady_1_pl|贵 夫 人 Borge
trp_kingdom_3_lady_2|贵 夫 人 Tuan
trp_kingdom_3_lady_2_pl|贵 夫 人 Tuan
trp_kingdom_3_lady_3|贵 夫 人 Mahraz
trp_kingdom_3_lady_3_pl|贵 夫 人 Mahraz
trp_kingdom_3_lady_4|贵 夫 人 Ayasu
trp_kingdom_3_lady_4_pl|贵 夫 人 Ayasu
trp_kingdom_3_lady_5|贵 夫 人 Ravin
trp_kingdom_3_lady_5_pl|贵 夫 人 Ravin
trp_kingdom_3_lady_6|贵 夫 人 Ruha
trp_kingdom_3_lady_6_pl|贵 夫 人 Ruha
trp_kingdom_3_lady_7|贵 夫 人 Chedina
trp_kingdom_3_lady_7_pl|贵 夫 人 Chedina
trp_kingdom_3_lady_8|贵 夫 人 Kefra
trp_kingdom_3_lady_8_pl|贵 夫 人 Kefra
trp_kingdom_3_lady_9|贵 夫 人 Nirvaz
trp_kingdom_3_lady_9_pl|贵 夫 人 Nirvaz
trp_kingdom_3_lady_10|贵 夫 人 Dulua
trp_kingdom_3_lady_10_pl|贵 夫 人 Dulua
trp_kingdom_3_lady_11|贵 夫 人 Selik
trp_kingdom_3_lady_11_pl|贵 夫 人 Selik
trp_kingdom_3_lady_12|贵 夫 人 Thalatha
trp_kingdom_3_lady_12_pl|贵 夫 人 Thalatha
trp_kingdom_3_lady_13|贵 夫 人 Yasreen
trp_kingdom_3_lady_13_pl|贵 夫 人 Yasreen
trp_kingdom_3_lady_14|贵 夫 人 Nadha
trp_kingdom_3_lady_14_pl|贵 夫 人 Nadha
trp_kingdom_3_lady_15|贵 夫 人 Zenur
trp_kingdom_3_lady_15_pl|贵 夫 人 Zenur
trp_kingdom_3_lady_16|贵 夫 人 Arjis
trp_kingdom_3_lady_16_pl|贵 夫 人 Arjis
trp_kingdom_3_lady_17|贵 夫 人 Atjahan
trp_kingdom_3_lady_17_pl|贵 夫 人 Atjahan
trp_kingdom_3_lady_18|贵 夫 人 Qutala
trp_kingdom_3_lady_18_pl|贵 夫 人 Qutala
trp_kingdom_3_lady_19|贵 夫 人 Hindal
trp_kingdom_3_lady_19_pl|贵 夫 人 Hindal
trp_kingdom_3_lady_20|贵 夫 人 Mechet
trp_kingdom_3_lady_20_pl|贵 夫 人 Mechet
trp_kingdom_4_lady_1|贵 夫 人 Jadeth
trp_kingdom_4_lady_1_pl|贵 夫 人 Jadeth
trp_kingdom_4_lady_2|贵 夫 人 Miar
trp_kingdom_4_lady_2_pl|贵 夫 人 Miar
trp_kingdom_4_lady_3|贵 夫 人 Dria
trp_kingdom_4_lady_3_pl|贵 夫 人 Dria
trp_kingdom_4_lady_4|贵 夫 人 Glunde
trp_kingdom_4_lady_4_pl|贵 夫 人 Glunde
trp_kingdom_4_lady_5|贵 夫 人 Loeka
trp_kingdom_4_lady_5_pl|贵 夫 人 Loeka
trp_kingdom_4_lady_6|贵 夫 人 Bryn
trp_kingdom_4_lady_6_pl|贵 夫 人 Bryn
trp_kingdom_4_lady_7|贵 夫 人 Eir
trp_kingdom_4_lady_7_pl|贵 夫 人 Eir
trp_knight_4_2b_daughter_1|贵 夫 人 Thera
trp_knight_4_2b_daughter_1_pl|贵 夫 人 Thera
trp_kingdom_4_lady_9|贵 夫 人 Hild
trp_kingdom_4_lady_9_pl|贵 夫 人 Hild
trp_knight_4_2c_wife_1|贵 夫 人 Endegrid
trp_knight_4_2c_wife_1_pl|贵 夫 人 Endegrid
trp_kingdom_4_lady_11|贵 夫 人 Herjasa
trp_kingdom_4_lady_11_pl|贵 夫 人 Herjasa
trp_knight_4_2c_daughter|贵 夫 人 Svipul
trp_knight_4_2c_daughter_pl|贵 夫 人 Svipul
trp_knight_4_1b_wife|贵 夫 人 Ingunn
trp_knight_4_1b_wife_pl|贵 夫 人 Ingunn
trp_kingdom_4_lady_14|贵 夫 人 Kaeteli
trp_kingdom_4_lady_14_pl|贵 夫 人 Kaeteli
trp_knight_4_1b_daughter|贵 夫 人 Eilif
trp_knight_4_1b_daughter_pl|贵 夫 人 Eilif
trp_knight_4_2b_daughter_2|贵 夫 人 Gudrun
trp_knight_4_2b_daughter_2_pl|贵 夫 人 Gudrun
trp_kingdom_4_lady_17|贵 夫 人 Bergit
trp_kingdom_4_lady_17_pl|贵 夫 人 Bergit
trp_knight_4_2c_wife_2|贵 夫 人 Aesa
trp_knight_4_2c_wife_2_pl|贵 夫 人 Aesa
trp_knight_4_1c_daughter|贵 夫 人 Alfrun
trp_knight_4_1c_daughter_pl|贵 夫 人 Alfrun
trp_kingdom_4_lady_20|贵 夫 人 Afrid
trp_kingdom_4_lady_20_pl|贵 夫 人 Afrid
trp_kingdom_5_lady_1|贵 夫 人 Brina
trp_kingdom_5_lady_1_pl|贵 夫 人 Brina
trp_kingdom_5_lady_2|贵 夫 人 Aliena
trp_kingdom_5_lady_2_pl|贵 夫 人 Aliena
trp_kingdom_5_lady_3|贵 夫 人 Aneth
trp_kingdom_5_lady_3_pl|贵 夫 人 Aneth
trp_kingdom_5_lady_4|贵 夫 人 Reada
trp_kingdom_5_lady_4_pl|贵 夫 人 Reada
trp_kingdom_5_5_wife|贵 夫 人 Saraten
trp_kingdom_5_5_wife_pl|贵 夫 人 Saraten
trp_kingdom_5_2b_wife_1|贵 夫 人 Baotheia
trp_kingdom_5_2b_wife_1_pl|贵 夫 人 Baotheia
trp_kingdom_5_1c_daughter_1|贵 夫 人 Eleandra
